# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_aarch64.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
2943060660	disas_a64/AND_i@100100100.......................	32	588
2955032527	disas_a64/LDP@1010100101......................	629	2693
3006514857	disas_a64/CLZ	151	258
3024602241	disas_a64/LDP@1010100011......................	629	1505
3025894928	disas_a64/FSQRT_s	459	20
3051190529	disas_a64/STP_v@1010110010......................	1180	4
3063709859	disas_a64/STP	1180	4288
3075519486	disas_a64/FDIV_v	380	20
3097265097	disas_a64/STR	1181	49
3097265097	disas_a64/STR	1182	499
3097265097	disas_a64/STR	1183	18
3105832877	disas_a64/LDR_i@1111100101......................	634	8462
3125679403	disas_a64/CAS	128	18
3125679403	disas_a64/CAS	129	18
3142309927	disas_a64/CBZ	140	2761
3142309927	disas_a64/CBZ	141	4944
3146136484	disas_a64/DUP_general	304	84
3159407581	disas_a64/FDIV_s	380	12
3180941232	disas_a64/STR_i@..111000000.........11..........	1181	33
3180941232	disas_a64/STR_i@..111000000.........11..........	1182	4
3225479767	disas_a64/FCSEL	357	12
3272848657	disas_a64/STR_i	1181	310
3272848657	disas_a64/STR_i	1182	4743
3272848657	disas_a64/STR_i	1183	56
3272848657	disas_a64/STR_i	1187	4
3272848657	disas_a64/STR_i	1188	223
3285636723	disas_a64/ADR	23	34
3288437729	disas_a64/UMADDL	1291	92
3292435158	disas_a64/NOT_v	769	4
3293200149	disas_a64/RORV	901	4
3298155240	disas_a64/SWP	1227	18
3298155240	disas_a64/SWP	1228	12
